"M_T","lia_080314_039_pos","lia_080314_040_pos","lia_080314_041_pos","lia_080314_042_pos","lia_080314_043_pos","lia_080314_044_pos","lia_080314_045_pos","lia_080314_046_pos","lia_080314_047_pos","lia_080314_048_pos"
"459.169_4.9007",0.02035286,0.081743103,0.023153586,0.110623002,0.029689272,0.027622287,0.042729233,0.058150758,0.1194934,0.048462886
"212.8487_0.2745",0.07344499,0.136877475,0.089285484,0.258643098,0.352918314,0.273982546,0.210670892,0.2108819,0.188085235,0.130355957
"166.0808_1.7572",0.223886723,0.319931204,0.066105009,0.112759104,0.30536501,0.152404739,0.260476636,0.192033384,0.410227203,0.182971499
"200.1294_4.8856",0,0.204325662,0.119465705,0.175288284,0.072596013,0.083791439,0.198429921,0.076257626,0.151468506,0.088709695
"130.0877_0.3438",0.314611649,0.175341823,0.259885474,0.312238508,0.267650121,0.339926703,0.432169195,0.31746961,0.253638702,0.214953261
"165.0918_3.3989",0.060732345,0.163658861,0.058999858,0.157063825,0.121680768,0.086197015,0.068405118,0.027035848,0.158175179,0.118746803
"109.0656_3.3029",1.012636348,0.533513809,0.029856477,0.389788896,0.515260854,0.624667403,0.368536365,0.189014726,0.324006669,0.082872471
"243.1013_4.4552",0.48704531,0.140994623,0,0,0,0,0.260954214,0.136045342,0.802735716,0.056898784
"200.1299_2.8121",0.025985677,0.204542587,0.115424825,0.303793247,0.069153148,0.123454156,0.233151889,0.215273368,0.142118949,0.282142274
"203.1511_0.3316",0.196046241,0.174719824,0.181936396,0.217336129,0.249365521,0.212192714,0.290377513,0.25936838,0.250062757,0.24295757
"234.1504_2.9957",0.455253174,0.178792702,0.030272719,0.212553786,0.652058903,0.34309788,0.192977869,0.071797581,0.273304031,0.035400955
"113.9655_3.6878",0.075831242,0.029882528,0.151638939,0,0.052211468,0.070405978,0.164875751,0.076222068,0.034558785,0.159915336
"134.0614_2.57",0.33233095,0.247274603,0.154365484,0.184351842,0.313582059,0.31568059,0.392007376,0.305961373,0.475162575,0.334015649
"137.0722_0.3065",0.251764037,0.170925849,0.142179386,0.244818828,0.293737002,0.24574736,0.186900087,0.278182608,0.240199306,0.221611004
"113.9657_3.1285",0.01785874,0.022808117,0.142511734,0.04219566,0.013690247,0.111445103,0.061830586,0.120687904,0.095122506,0
"304.1758_2.3209",0.310128547,0.408841687,0.100241141,0.336463878,0.113307094,0.223593052,0.153077498,0.360395004,0.56779376,0.172942444
"196.8741_0.2613",0.088651755,0.190265379,0.274951922,0.268757582,0.224372119,0.196974831,0.228304653,0.363709559,0.215475553,0.193963632
"303.0719_1.8416",0.306737281,0.096788403,0.129301703,0.285067661,0.953905636,0.70515379,0.142483646,0.023895275,0.147975447,0
"104.1065_0.2986",0.34571185,0.305848786,0.352546066,0.41354198,0.253536405,0.333013287,0.21273807,0.376405194,0.177210573,0.312494967
"287.148_4.0836",0.528990197,0.325175034,0.078974088,0.406668601,1.030356381,0.705781331,0.451310636,0.181788742,0.580712158,0.092786175
"83.0498_2.2309",0.25857551,0.328393493,0.102479382,0.302864899,0.018360013,0.324723463,0.324074607,0.202142142,0.278798198,0.245656361
"112.8982_0.2863",0.675598668,0.205146878,0.253405224,0.32802042,0.37812345,0.401940358,0.215683711,0.25594715,0.312092378,0.141824731
"216.1235_2.6844",0.074402648,0.314784768,0.143922869,0.315490429,0.059158108,0.113626855,0.326709997,0.201705281,0.192904473,0.281192256
"228.1949_5.7372",0.379182518,0.226033659,0.413410946,0.330944265,0.3065194,0.288058303,0.27661666,0.440901864,0.271703144,0.379875507
"126.0905_0.605",0.02077907,0.052876581,0.025562841,0.241179344,0.173033695,0.137925264,0,0.081905069,0.113108799,0.04607968
"218.14_4.1195",0.026388209,0.182710633,0.077695246,0.079832501,0.030840761,0.05634068,0.192753025,0.049986285,0.061475468,0.05635032
"146.1_0.346",0.345567149,0.092901461,0.436142912,0.289572401,0.263624261,0.415304902,0.208818101,0.199658131,0.228761018,0.092910233
"366.1559_2.805",0.417288881,0.247161713,0.059031049,0.17547215,0.46624281,0.272102013,0.226852748,0.069968861,0.314796834,0.024319589
"297.1444_1.716",0,0.045689279,0,0.013910796,2.214205951,0.228259869,0.026817539,0,0,0
"81.0703_3.3145",0.646455877,0.493229947,0,0.226936867,0.379724513,0.421655622,0.418648874,0.106961074,0.330606774,0.051080061
"170.1167_3.8748",0.894639221,0.400622885,0.115909902,0.455169816,1.391674474,0.926841207,0.189990396,0.106779472,0.285942984,0.085641997
"209.1298_3.3857",0.186535436,0.058326269,0.110871978,0.091821707,0.469700178,0.194985525,0.126082175,0.033212858,0.121046923,0
"176.0395_2.8946",0.232658237,0.21943294,0.083150488,0.285381317,0.334604709,0.406935589,0.128621701,0.064918292,0.244568589,0
"220.138_4.5096",0.013538756,0.174903546,0.071106364,0.095670294,0.037572766,0.060390415,0.11729231,0.062118064,0.063895743,0.109438151
"200.0923_2.9972",0.077417691,0.050935323,0.0345072,0.050430014,0.040510948,0.037225764,0.032734967,0.03063868,0.02923039,0.042075022
"229.1391_0.3492",0.265371198,0.146721001,0.247899431,0.103863189,0.097099234,0.190132537,0.084498082,0.236977989,0.205162149,0.231769558
"257.159_5.5",0.038677275,0.266339656,0.174981823,0.153813707,0.089064916,0.138460766,0.217531273,0.15530786,0.12637295,0.184320895
"216.0652_2.9983",0.129512699,0.176548192,0.227558435,0.319659882,0.202702664,0.181627257,0.236163764,0.22736451,0.184244055,0.259048023
"127.1128_3.1026",0.026556589,0.099834207,0.02283522,0.109171896,0.070136409,0.067920913,0.03597343,0.025067434,0.112336774,0.03498199
"116.0714_0.8263",0.256894347,0.034986907,0.041883392,0.732520473,0.274364723,0.14767726,0.064260304,0.039383518,0.068880753,0
"413.0442_2.6081",0.550753235,0.201862014,0,0.025247454,0.016312277,0.008214519,0.193242803,0,0.343894607,0.110278258
"285.0777_4.9065",0.064276205,0.206603375,0.478495248,0.049717981,0.175632521,0.162150459,0.239283704,0.387326716,0.067450375,0.052248811
"259.1016_3.1983",0.017724563,0.106222428,0.067176267,0.089611698,0.013571327,0.05269048,0.124159664,0.087661727,0.052926354,0.117413731
"86.0966_3.297",1.171754882,0.163147538,0.021551001,0.290745905,1.47117652,0.588937279,0.122622353,0.073233888,0.358468359,0.039270674
"198.1143_3.3899",0.081061527,0.158689507,0.079521548,0.131798345,0.127783369,0.09307487,0.166005205,0.082860067,0.130112299,0.080809202
"100.0762_1.7201",0.352836404,0,0.057586572,0.834061891,0.349945326,0.216748665,0.221156679,0.106875987,0.139362392,0.050685036
"196.096_3.5643",0.094689735,0.187409937,0.229942952,0.235614665,0.066615232,0.100435932,0.22631068,0.151999655,0.119538395,0.182684209
"143.1078_4.5104",0.015543523,0.140939285,0.076860612,0.092095705,0.044020524,0.059957411,0.080923223,0.080420504,0.065930006,0.137672075
"153.1281_5.2498",0.046367478,0.202461878,0.178050396,0.170475296,0.065307117,0.112072644,0.238718977,0.166361457,0.112135479,0.250885269
"410.181_5.0455",0.462296169,0.24712851,0.036818579,0.155488338,0.707666828,0.309825627,0.248303642,0.073237698,0.452970403,0.036436943
"95.0862_2.6917",0.058346093,0.22258278,0.124444473,0.256990098,0.074069455,0.096453135,0.233132716,0.175141853,0.116272681,0.237524077
"112.0538_2.1185",0,0.041625255,0,0.018849966,0.020897929,0,0,0,0,0
"113.9655_5.0016",0,0.079981141,0.177818075,0,0,0.024331877,0,0.063286413,0,0.082000805
"279.1352_2.1095",0.182788994,0.295819324,0.004669007,0.02883286,0.078046007,0.068029687,0.163939769,0,0.072288557,0
"141.0678_0.3397",0.127431635,0.140109215,0.106281487,0.151605501,0.139643415,0.13951922,0.129149825,0.123944041,0.135703561,0.131459415
"121.0303_1.9459",0.200708246,0.162729182,0.028481911,0.149894817,0.269030748,0.203122647,0,0.118183573,0.15135957,0.105095056
